Reference, Value, Footprint, Datasheet
"U5","dsPIC33EPXXXGP502","Housings_SOIC:SOIC-28W_7.5x17.9mm_Pitch1.27mm",""
"U4","TLV5616C","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"U7","MCP4131","Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm",""
"U1","TLC272","Housings_SSOP:TSSOP-8_4.4x3mm_Pitch0.65mm",""
"U9","MAX4080","Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm",""
"U6","LT3081","TO_SOT_Packages_THT:TO-220-7_Multiwatt-7_Vertical_StaggeredType1",""
"CON1","BARREL_JACK","Connectors:BARREL_JACK",""
"SW1","SW_PUSH","Buttons_Switches_SMD:SW_SPST_B3S-1000",""
"U2","MCP1501","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"C5","2.2µ **","Capacitors_Tantalum_SMD:CP_Tantalum_Case-B_EIA-3528-21_Hand",""
"C3","10n","Capacitors_SMD:C_0603_HandSoldering",""
"C1","1µ","Capacitors_SMD:C_0603_HandSoldering",""
"C8","10µ **","Capacitors_Tantalum_SMD:CP_Tantalum_Case-B_EIA-3528-21_Hand",""
"R1","1k","Resistors_SMD:R_0603_HandSoldering",""
"R3","50","Resistors_SMD:R_0603_HandSoldering",""
"R5","10k","Resistors_SMD:R_0603_HandSoldering",""
"TP1","TEST","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"U3","MCP1501","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"C6","2.2µ **","Capacitors_Tantalum_SMD:CP_Tantalum_Case-B_EIA-3528-21_Hand",""
"R2","1k","Resistors_SMD:R_0603_HandSoldering",""
"R4","50","Resistors_SMD:R_0603_HandSoldering",""
"TP2","TEST","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"C2","1µ","Capacitors_SMD:C_0603_HandSoldering",""
"C4","10n","Capacitors_SMD:C_0603_HandSoldering",""
"C9","100n","Capacitors_SMD:C_0603_HandSoldering",""
"C7","100n","Capacitors_SMD:C_0603_HandSoldering",""
"R6","10k**","Resistors_SMD:R_0603_HandSoldering",""
"R7","10k**","Resistors_SMD:R_0603_HandSoldering",""
"R8","10k**","Resistors_SMD:R_0603_HandSoldering",""
"R9","10k**","Resistors_SMD:R_0603_HandSoldering",""
"R14","10**","Resistors_SMD:R_0603_HandSoldering",""
"R15","10**","Resistors_SMD:R_0603_HandSoldering",""
"C11","1µ","Capacitors_SMD:C_0603_HandSoldering",""
"R26","100","Resistors_SMD:R_0603_HandSoldering",""
"C13","1µ","Capacitors_SMD:C_0603_HandSoldering",""
"C10","1µ","Capacitors_SMD:C_0603_HandSoldering",""
"C12","1µ","Capacitors_SMD:C_0603_HandSoldering",""
"R16","10**","Resistors_SMD:R_0603_HandSoldering",""
"R17","10**","Resistors_SMD:R_0603_HandSoldering",""
"R18","10**","Resistors_SMD:R_0603_HandSoldering",""
"R19","10**","Resistors_SMD:R_0603_HandSoldering",""
"R20","10**","Resistors_SMD:R_0603_HandSoldering",""
"R21","10**","Resistors_SMD:R_0603_HandSoldering",""
"R22","10**","Resistors_SMD:R_0603_HandSoldering",""
"R23","10**","Resistors_SMD:R_0603_HandSoldering",""
"U8","LM334Z","TO_SOT_Packages_THT:TO-92_Inline_Narrow_Oval",""
"R24","100**","Resistors_SMD:R_0603_HandSoldering",""
"R25","100**","Resistors_SMD:R_0603_HandSoldering",""
"D3","D_Zener","Diodes_THT:D_5W_P10.16mm_Horizontal",""
"R10","100","Resistors_SMD:R_0603_HandSoldering",""
"R11","100","Resistors_SMD:R_0603_HandSoldering",""
"D1","LED","LEDs:LED_0603",""
"D2","LED","LEDs:LED_0603",""
"P5","PGM","Pin_Headers:Pin_Header_Angled_1x05_Pitch2.00mm",""
"P6","SERIAL","Connectors_Molex:Molex_PicoBlade_53047-0410_04x1.25mm_Straight",""
"P7","I2C","Connectors_Molex:Molex_PicoBlade_53047-0410_04x1.25mm_Straight",""
"R12","2k2","Resistors_SMD:R_0603_HandSoldering",""
"R13","2k2","Resistors_SMD:R_0603_HandSoldering",""
"P1","12V","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"P2","5V","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"P3","3V3","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"P4","GND","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
